Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
Endrizzi,524,France,Male,40,2,180516.9,1,Yes,No,50-75K,No
Burke,816,France,Male,31,8,0.0,2,Yes,Yes,20-50K,No
Johnson,742,Germany,Female,41,4,92805.72,1,No,Yes,50-75K,Yes
Yeh,540,France,Male,22,4,0.0,3,Yes,Yes,50-75K,Yes
Marshall,537,Germany,Male,39,3,135309.36,1,Yes,No,20-50K,Yes
Kao,759,Spain,Female,74,6,128917.84,1,Yes,Yes,20-50K,No
Browne,774,France,Female,52,2,56580.93,1,Yes,No,50-75K,Yes
Taylor,608,Germany,Male,42,8,131390.75,2,Yes,No,50-75K,No
Gibbons,704,Spain,Male,37,4,0.0,2,No,No,20-50K,No
Nott,581,France,Male,41,8,0.0,2,No,No,20-50K,No
Lei,628,Germany,Female,61,1,97361.66,1,Yes,Yes,50-75K,Yes
Alexeeva,566,France,Female,42,6,0.0,1,Yes,No,50-75K,Yes
Sheets,701,Spain,Male,59,7,0.0,2,No,Yes,20-50K,No
Tokaryev,735,Spain,Male,29,10,0.0,2,Yes,Yes,50-75K,No
Ts'ui,680,France,Female,34,1,0.0,2,Yes,No,50-75K,No
Johnston,560,France,Male,57,0,0.0,2,No,Yes,50-75K,No
Kung,663,Germany,Female,29,4,102714.65,2,No,No,20-50K,No
Unwin,665,France,Female,34,5,67816.72,1,Yes,Yes,20-50K,No
Hsueh,758,France,Male,51,8,81710.46,1,Yes,Yes,50-75K,No
Hao,621,France,Male,26,2,75237.54,1,No,Yes,20-50K,No
L?,764,Germany,Male,28,10,124023.18,1,Yes,No,50-75K,No
Frater,537,Germany,Female,46,5,100727.5,1,No,Yes,50-75K,Yes
Brennan,589,France,Female,46,10,107238.85,2,Yes,No,20-50K,No
Pisani,555,France,Male,24,5,0.0,2,Yes,No,20-50K,No
Golubev,734,France,Female,29,0,139994.66,1,Yes,No,0-20K,No
Vanmeter,783,Spain,Female,59,9,126224.87,1,Yes,Yes,0-20K,No
Hs?,678,Germany,Female,51,1,145751.03,1,No,No,50-75K,Yes
Scott,661,France,Male,47,5,0.0,1,No,Yes,50-75K,Yes
Crawford,607,Spain,Female,25,4,121166.89,1,No,Yes,50-75K,No
P'eng,537,Spain,Female,38,1,0.0,2,No,Yes,20-50K,No
Rearick,513,Spain,Male,88,10,0.0,2,Yes,Yes,50-75K,No
Genovesi,576,France,Male,63,9,70655.48,1,No,No,50-75K,Yes
Glenny,660,Germany,Male,41,1,129901.21,1,Yes,No,20-50K,Yes
Marks,637,France,Male,40,8,125470.81,1,Yes,Yes,50-75K,No
Fleming,672,France,Female,53,9,169406.33,4,Yes,Yes,50-75K,Yes
Davison,629,France,Male,32,2,0.0,2,No,Yes,50-75K,No
Chibuzo,583,Germany,Male,40,4,107041.3,1,Yes,Yes,0-20K,No
Wilson,763,Spain,Female,32,10,95153.77,1,No,Yes,50-75K,No
Endrizzi,516,Germany,Male,32,3,145166.09,2,No,No,50-75K,No
Yuryeva,617,France,Female,27,4,0.0,2,No,No,50-75K,No
Ugochukwu,700,France,Male,38,9,65962.63,1,Yes,Yes,50-75K,No
Lo Duca,727,Germany,Male,36,6,140418.81,1,Yes,Yes,50-75K,Yes
Gallo,689,Spain,Female,31,3,139799.63,1,No,Yes,50-75K,No
Trout,626,Germany,Male,49,9,171787.84,2,Yes,No,50-75K,No
Morley,686,France,Male,38,6,149238.97,1,Yes,Yes,50-75K,No
Chou,351,Germany,Female,57,4,163146.46,1,Yes,No,50-75K,Yes
Shao,739,France,Female,37,8,0.0,2,Yes,No,50-75K,Yes
Trentino,627,France,Male,32,10,0.0,2,Yes,No,50-75K,No
Mazzanti,451,Germany,Female,38,9,61482.47,1,Yes,Yes,50-75K,No
Endrizzi,512,France,Female,41,8,145150.28,1,Yes,No,50-75K,Yes
Monaldo,774,France,Female,41,5,126670.37,1,Yes,No,50-75K,No
Otutodilinna,652,France,Female,40,8,84390.8,2,No,Yes,50-75K,No
Allen,638,Germany,Male,37,2,89728.86,2,Yes,Yes,20-50K,No
Milne,475,France,Female,57,1,0.0,2,Yes,No,50-75K,No
Somadina,567,Spain,Male,40,4,118628.8,1,No,No,50-75K,No
Chieloka,750,France,Male,37,3,0.0,2,Yes,No,0-20K,No
Chukwuebuka,850,France,Male,39,6,96863.13,1,Yes,Yes,50-75K,No
Chioke,753,France,Female,38,6,142263.45,1,No,Yes,20-50K,No
Kovalev,683,Spain,Female,36,7,0.0,2,Yes,No,50-75K,No
Doherty,710,France,Female,32,3,0.0,1,Yes,No,50-75K,No
Baranov,645,Spain,Female,21,1,0.0,2,No,No,20-50K,No
Rossi,714,France,Male,28,6,122724.37,1,Yes,Yes,50-75K,No
Robinson,696,Germany,Female,35,4,174902.26,1,Yes,No,50-75K,No
Bidencope,612,Spain,Female,26,4,0.0,2,Yes,Yes,50-75K,No
T'ien,520,Germany,Female,31,3,108914.17,1,Yes,Yes,50-75K,Yes
De Bernales,782,Spain,Male,23,10,98052.66,1,Yes,Yes,50-75K,No
Wade,666,France,Male,46,5,123873.19,1,Yes,Yes,50-75K,No
Chung,466,Germany,Female,56,2,111920.13,3,Yes,No,50-75K,Yes
Stevenson,567,France,Female,45,4,0.0,2,No,Yes,50-75K,No
Chienezie,613,France,Male,20,3,0.0,2,Yes,Yes,50-75K,No
Cashin,718,France,Male,37,8,0.0,2,Yes,Yes,0-20K,No
Seppelt,614,France,Female,37,8,75150.34,4,No,Yes,50-75K,Yes
Brownless,711,France,Male,38,10,0.0,2,No,No,50-75K,No
McDonald,691,Germany,Female,38,5,114753.76,1,Yes,No,50-75K,No
Mamelu,527,France,Male,32,0,0.0,1,Yes,No,50-75K,No
McGregor,476,France,Female,32,6,111871.93,1,No,No,50-75K,No
McDonald,619,Spain,Female,45,0,0.0,2,No,No,50-75K,No
Crawford,607,Germany,Female,37,4,135927.06,1,No,No,50-75K,No
Feng,695,Spain,Male,44,8,0.0,2,Yes,Yes,50-75K,No
Genovese,653,France,Male,33,1,0.0,2,No,No,50-75K,No
Pirozzi,677,France,Male,46,2,57037.74,1,Yes,Yes,50-75K,No
Gibbs,655,France,Female,50,10,0.0,4,Yes,No,50-75K,Yes
Milne,625,France,Female,52,2,79468.96,1,Yes,Yes,50-75K,No
Dickson,679,Germany,Female,34,7,121063.85,1,Yes,No,50-75K,No
O'Connor,734,France,Male,51,1,118537.47,1,Yes,Yes,50-75K,No
McGuirk,666,France,Male,39,10,0.0,2,Yes,No,50-75K,No
Toscani,592,Germany,Female,26,4,105082.07,2,Yes,No,50-75K,No
Ruth,564,France,Male,40,4,0.0,1,Yes,No,50-75K,Yes
Hughes,814,France,Female,36,6,0.0,2,Yes,Yes,50-75K,No
Onyekaozulu,592,Germany,Male,36,2,104702.65,2,Yes,No,50-75K,No
Aksenov,758,France,Female,50,2,95813.76,3,Yes,Yes,50-75K,Yes
K'ung,612,Spain,Female,62,0,167026.61,2,Yes,Yes,50-75K,No
Meng,498,Germany,Male,61,7,102453.26,1,Yes,No,50-75K,Yes
Nwoye,638,Germany,Male,25,4,148045.45,2,Yes,Yes,50-75K,No
Calabresi,558,France,Male,35,1,0.0,2,No,No,50-75K,No
Milano,756,France,Female,24,1,0.0,2,Yes,No,50-75K,No
Kirby,782,Spain,Male,52,4,0.0,1,Yes,Yes,50-75K,Yes
Ho,505,France,Male,34,10,104498.79,1,No,Yes,50-75K,No
Chukwuemeka,671,Spain,Female,29,6,0.0,2,No,No,0-20K,No
Hale,801,France,Male,42,6,0.0,2,Yes,Yes,50-75K,No
K?,604,France,Male,26,8,149542.52,2,No,Yes,50-75K,No
Rice,716,France,Female,29,10,87946.39,1,Yes,Yes,50-75K,No
Brown,624,France,Female,45,3,68639.57,1,Yes,No,50-75K,Yes
Sagese,607,Germany,Male,47,4,148826.32,1,Yes,Yes,50-75K,No
Aksyonova,827,France,Female,60,2,0.0,2,No,Yes,50-75K,No
Findlay,606,France,Male,61,5,108166.09,2,No,Yes,0-20K,No
Walker,717,Germany,Female,35,5,103214.71,1,Yes,No,50-75K,No
Hao,651,Germany,Male,40,1,134760.21,2,No,No,50-75K,Yes
Hammer,691,France,Male,58,3,0.0,1,No,Yes,50-75K,Yes
Abbott,573,France,Female,33,0,90124.64,1,Yes,No,50-75K,No
Lucas,723,Spain,Male,38,6,0.0,2,Yes,Yes,50-75K,No
Davydova,584,Germany,Female,46,6,87361.02,2,Yes,No,50-75K,Yes
West,550,Germany,Female,45,8,111257.59,1,No,No,50-75K,Yes
Smith,611,France,Female,61,3,131583.59,4,No,Yes,50-75K,Yes
Mai,549,Germany,Male,41,9,95020.8,3,Yes,Yes,50-75K,Yes
Fiorentino,850,Spain,Female,24,1,0.0,2,No,Yes,50-75K,No
Freeman,668,Germany,Male,34,5,80242.37,2,No,No,50-75K,No
Nkemjika,686,France,Female,43,0,0.0,1,Yes,Yes,50-75K,No
Ramos,660,France,Male,50,1,0.0,3,Yes,Yes,50-75K,Yes
Mario,682,Spain,Female,59,0,122661.39,1,No,Yes,50-75K,No
Chien,524,France,Male,50,4,0.0,2,Yes,Yes,20-50K,Yes
Dubinina,645,France,Female,36,8,0.0,2,Yes,Yes,0-20K,Yes
Wang,850,France,Male,42,0,0.0,2,Yes,No,20-50K,No
Hsieh,537,France,Female,53,3,0.0,1,Yes,Yes,50-75K,No
Moran,599,Spain,Female,46,7,81742.84,2,Yes,No,50-75K,No
Hung,727,Spain,Male,71,8,0.0,1,Yes,Yes,50-75K,Yes
Moss,756,Spain,Male,30,2,145127.85,1,No,No,0-20K,No
Fedorova,755,France,Male,38,9,148912.44,1,Yes,No,50-75K,No
Li,634,Spain,Female,41,4,0.0,2,Yes,Yes,50-75K,No
Nebechi,837,France,Male,26,4,89900.24,2,Yes,No,50-75K,No
Obialo,727,Germany,Female,30,8,119027.28,2,Yes,Yes,50-75K,No
Bateson,567,Germany,Female,40,2,105222.86,2,Yes,No,50-75K,No
Long,650,Spain,Female,30,6,0.0,1,No,No,50-75K,Yes
Nelson,655,Spain,Male,34,1,116114.93,1,Yes,Yes,20-50K,No
Bell,763,France,Female,58,9,187911.55,1,No,Yes,20-50K,No
Udinese,843,France,Female,27,5,0.0,2,Yes,Yes,50-75K,No
Mao,667,France,Female,38,6,144432.04,1,Yes,Yes,50-75K,Yes
Fanucci,705,France,Female,50,4,77065.9,2,No,Yes,50-75K,No
Yeh,660,Germany,Female,29,6,180520.29,1,Yes,Yes,50-75K,No
Onuoha,553,France,Male,42,1,0.0,2,No,No,20-50K,No
Moore,612,Germany,Female,47,6,130024.87,1,Yes,Yes,20-50K,Yes
Thornton,641,Germany,Female,40,2,110086.69,1,Yes,No,50-75K,No
Warlow-Davies,513,Spain,Female,31,5,174853.46,1,Yes,No,50-75K,No
Champion,680,France,Male,44,7,108724.98,1,No,Yes,50-75K,No
Mazzanti,711,France,Male,58,9,91285.13,2,Yes,Yes,20-50K,No
Macleod,689,Spain,Male,40,2,0.0,2,Yes,Yes,50-75K,No
Lei,665,Germany,Female,51,9,110610.41,2,No,Yes,0-20K,Yes
Lucchese,551,Germany,Male,54,5,102994.04,1,Yes,No,50-75K,Yes
Lombardo,645,Spain,Male,36,4,59893.85,2,Yes,No,20-50K,No
William,616,Germany,Male,29,8,149318.55,1,Yes,No,50-75K,No
Wright,582,France,Female,32,1,116409.55,1,No,Yes,50-75K,No
Ozoemena,365,Germany,Male,30,0,127760.07,1,Yes,No,50-75K,Yes
Boyle,697,Germany,Female,38,6,132591.36,1,Yes,Yes,0-20K,Yes
Chinwendu,704,France,Male,31,0,0.0,2,Yes,No,50-75K,No
Uwaezuoke,656,France,Female,46,5,113402.14,2,Yes,Yes,50-75K,No
Archambault,712,France,Female,31,7,0.0,2,Yes,No,50-75K,No
Ko,748,France,Male,40,0,0.0,1,No,No,50-75K,No
Udegbulam,724,France,Male,28,9,0.0,2,Yes,Yes,50-75K,No
Greene,691,France,Male,50,6,136953.47,1,Yes,Yes,0-20K,No
Hunter,563,France,Male,33,8,0.0,2,No,Yes,50-75K,No
Blinova,741,France,Male,32,5,0.0,1,Yes,Yes,50-75K,No
De Garis,778,France,Male,44,8,123863.64,1,Yes,No,50-75K,No
Okwudiliolisa,848,Spain,Male,22,7,120811.89,1,Yes,Yes,50-75K,No
Ts'ai,634,Germany,Male,38,2,148430.55,1,Yes,Yes,50-75K,No
Tuan,505,Germany,Male,40,6,47869.69,2,Yes,Yes,50-75K,No
Tseng,692,Germany,Male,53,7,150926.99,2,No,No,50-75K,No
Holmwood,537,Germany,Female,47,6,103163.35,1,Yes,No,0-20K,Yes
Thompson,633,France,Male,29,10,130206.28,1,Yes,No,50-75K,No
Y?,833,France,Female,28,4,136674.51,2,No,No,0-20K,No
Chidubem,592,Spain,Female,40,2,200322.45,1,Yes,Yes,50-75K,No
Trevisani,587,Spain,Male,48,1,0.0,2,Yes,Yes,0-20K,No
Hsiung,550,Spain,Male,62,7,80927.56,1,No,Yes,50-75K,No
Randall,680,France,Female,24,10,0.0,3,Yes,No,50-75K,Yes
Leach,622,Spain,Female,41,9,0.0,2,Yes,Yes,50-75K,No
Godfrey,594,Germany,Male,28,0,142574.71,2,Yes,No,50-75K,No
Wallace,643,Germany,Female,34,7,160426.07,1,No,Yes,50-75K,No
Wei,540,France,Male,25,5,116160.23,1,Yes,No,0-20K,No
Mitchell,635,Spain,Female,34,5,98683.47,2,Yes,No,0-20K,No
Light,657,France,Male,32,3,118829.03,2,Yes,Yes,50-75K,No
Capon,814,France,Male,31,1,118870.92,1,Yes,No,50-75K,No
Hou,600,France,Male,32,1,0.0,1,Yes,Yes,50-75K,No
Rowe,682,France,Female,46,2,0.0,1,Yes,Yes,50-75K,No
Holloway,682,France,Male,38,4,107192.38,1,Yes,Yes,0-20K,No
O'Sullivan,566,France,Male,42,3,108010.78,1,Yes,Yes,50-75K,No
Udinesi,550,Spain,Male,34,3,0.0,2,No,No,50-75K,No
Nwebube,630,France,Male,26,7,129837.72,2,No,Yes,50-75K,No
Chibueze,546,Germany,Female,58,3,106458.31,4,Yes,No,50-75K,Yes
Walker,486,France,Male,63,9,97009.15,1,Yes,Yes,50-75K,No
Gregory,762,Spain,Male,35,9,122929.42,2,No,No,50-75K,No
Kuo,692,Germany,Male,45,6,152296.83,4,No,Yes,50-75K,Yes
Wilson,498,France,Female,30,1,0.0,2,No,No,50-75K,No
Lanford,850,Spain,Male,49,8,0.0,1,No,No,20-50K,Yes
Meng,603,France,Male,35,6,128993.76,2,Yes,No,50-75K,No
Yeh,551,France,Female,36,5,0.0,1,Yes,No,50-75K,No
Onwuatuegwu,627,Germany,Male,27,0,185267.45,2,Yes,Yes,50-75K,No
Goliwe,515,France,Female,28,9,0.0,2,No,No,50-75K,No
Anthony,605,Spain,Female,29,3,116805.82,1,No,No,0-20K,No
Scott,567,Germany,Male,29,5,129750.68,1,Yes,No,50-75K,No
Genovese,568,Germany,Female,29,2,129177.01,2,No,Yes,50-75K,No
Onyeorulu,571,Germany,Male,25,6,82506.72,2,Yes,No,50-75K,No
Myers,634,Germany,Male,48,2,107247.69,1,Yes,Yes,50-75K,Yes
Davey,768,Spain,Female,42,3,0.0,1,No,No,50-75K,Yes
Parsons,554,Germany,Female,36,3,157780.93,2,Yes,No,0-20K,No
Chikere,629,France,Male,35,1,172170.36,1,Yes,Yes,50-75K,No
Hs?eh,638,Spain,Male,48,2,0.0,2,Yes,Yes,0-20K,No
Sal,576,France,Male,41,1,0.0,1,Yes,Yes,50-75K,No
Ts'ai,661,Spain,Female,42,9,75361.44,1,Yes,No,20-50K,Yes
Witt,592,France,Female,27,4,0.0,2,Yes,Yes,50-75K,No
Skelton,702,Spain,Male,30,2,0.0,2,Yes,Yes,50-75K,No
Kazantseva,647,France,Female,29,0,98263.46,2,Yes,No,50-75K,No
Bowhay,593,France,Male,43,9,0.0,2,Yes,Yes,50-75K,No
Beyer,712,Germany,Female,40,3,109308.79,2,Yes,No,50-75K,Yes
Fries,625,Spain,Female,31,8,0.0,2,Yes,No,50-75K,No
Tao,538,Germany,Female,28,6,164365.44,1,No,Yes,0-20K,No
Kaodilinakachukwu,637,Spain,Female,22,5,98800.0,1,Yes,No,50-75K,No
Ni,632,France,Male,27,4,193125.85,1,Yes,Yes,50-75K,No
Hsueh,736,France,Male,27,5,51522.75,1,No,Yes,50-75K,No
Connely,755,France,Male,23,5,84284.48,2,Yes,Yes,50-75K,No
Becker,425,Spain,Female,39,5,0.0,2,Yes,No,50-75K,No
Clayton,461,France,Male,51,9,119889.84,1,No,No,50-75K,Yes
Connolly,745,France,Male,21,4,137910.45,1,Yes,Yes,50-75K,No
Graham,616,France,Female,37,6,0.0,2,Yes,No,50-75K,No
Ch'ien,587,France,Male,33,5,100116.82,1,Yes,No,20-50K,No
Manfrin,850,Germany,Male,40,4,166082.15,2,No,Yes,20-50K,No
Kuo,601,France,Female,38,0,0.0,2,Yes,No,50-75K,No
Fomin,730,Spain,Male,26,3,0.0,1,Yes,No,20-50K,No
Chamberlain,532,France,Male,44,3,148595.55,1,Yes,No,50-75K,Yes
Barber,850,Germany,Male,53,2,94078.97,2,Yes,No,20-50K,No
Zimmer,779,Spain,Female,34,5,0.0,2,No,Yes,50-75K,No
Brazenor,562,France,Male,29,9,0.0,1,Yes,Yes,20-50K,No
Cocci,670,Germany,Male,40,2,164948.98,3,No,No,50-75K,Yes
Caldwell,729,France,Female,62,4,140549.4,1,Yes,No,20-50K,Yes
Yirawala,767,France,Female,44,2,152509.25,1,Yes,Yes,50-75K,No
Donaldson,742,France,Female,28,2,191864.51,1,Yes,No,50-75K,Yes
Ozerova,669,France,Female,44,8,96418.09,1,No,No,50-75K,Yes
Bruce,542,Spain,Male,32,2,131945.94,1,No,Yes,50-75K,No
Kang,586,France,Male,29,3,0.0,2,Yes,Yes,50-75K,No
Rossi,612,Germany,Male,30,9,142910.15,1,Yes,No,50-75K,Yes
Ts'ai,740,France,Female,37,7,0.0,2,Yes,Yes,50-75K,No
Moran,584,France,Male,35,3,146311.58,1,Yes,Yes,50-75K,No
Jennings,524,France,Male,52,2,87894.26,1,Yes,No,50-75K,Yes
Tokareva,614,France,Female,19,5,97445.49,2,Yes,No,50-75K,No
Pagnotto,598,France,Female,64,9,0.0,1,No,Yes,0-20K,Yes
Castella,799,Spain,Male,35,7,0.0,2,No,Yes,50-75K,No
Du Cane,724,France,Male,34,2,154485.74,2,No,No,50-75K,No
Ferguson,601,France,Male,50,2,115625.07,1,Yes,No,50-75K,No
Odinakachukwu,804,France,Male,25,7,108396.67,1,Yes,No,50-75K,No
Woronoff,745,Germany,Male,38,5,65095.41,2,Yes,Yes,50-75K,No
Meng,667,Germany,Male,43,1,103018.45,1,Yes,No,20-50K,Yes
Sinclair,518,France,Female,38,10,84764.79,1,Yes,Yes,50-75K,No
Hsu,819,France,Female,38,10,0.0,2,Yes,No,20-50K,No
Panicucci,520,Spain,Female,35,4,115680.81,1,Yes,Yes,50-75K,No
Burns,625,France,Female,39,5,0.0,2,Yes,No,20-50K,No
Onodugoadiegbemma,673,Germany,Male,36,5,73088.06,2,No,No,50-75K,No
Darling,656,Germany,Female,27,3,150905.03,2,Yes,No,0-20K,No
Maggard,850,Spain,Female,23,9,143054.85,1,No,Yes,50-75K,No
Thomas,574,Spain,Female,28,7,0.0,2,No,No,50-75K,No
Lettiere,679,France,Male,60,6,0.0,2,Yes,Yes,50-75K,No
Ponomaryov,530,Germany,Female,42,0,99948.45,1,No,Yes,50-75K,No
Oliver,508,France,Male,44,3,115451.05,2,No,No,50-75K,No
Chienezie,558,Germany,Male,32,4,108235.91,1,Yes,Yes,50-75K,No
Mao,414,France,Male,38,8,0.0,1,No,Yes,50-75K,Yes
Ho,648,Spain,Male,42,2,98795.61,2,Yes,No,50-75K,No
Lucchese,721,France,Female,37,1,0.0,2,Yes,No,50-75K,No
Prokhorova,751,France,Male,31,8,0.0,2,No,No,0-20K,No
Alekseyeva,662,France,Male,34,2,0.0,2,No,Yes,20-50K,No
Blacklock,628,Germany,Male,29,3,113146.98,2,No,Yes,50-75K,No
Sazonova,597,Germany,Female,39,8,162532.14,3,Yes,No,20-50K,Yes
Henty,698,Spain,Female,40,0,92053.44,1,Yes,Yes,50-75K,No
Li,723,France,Male,48,7,0.0,2,Yes,Yes,50-75K,No
Azuka,586,France,Female,28,5,0.0,3,Yes,No,50-75K,Yes
Alexander,633,Germany,Female,29,8,104944.1,1,Yes,Yes,50-75K,No
Brock,564,France,Male,31,4,0.0,2,Yes,No,50-75K,No
Shen,649,France,Female,31,2,0.0,2,Yes,No,0-20K,No
Padovesi,622,France,Female,30,4,107879.04,1,No,Yes,50-75K,No
Bulgakov,459,Germany,Male,46,7,110356.42,1,Yes,No,0-20K,Yes
Mazzanti,718,France,Male,27,2,0.0,2,No,No,20-50K,No
Lord,655,Spain,Female,34,4,109783.69,2,Yes,No,50-75K,No
Ramos,696,France,Male,22,9,149777.0,1,Yes,Yes,50-75K,No
Pai,637,France,Female,38,3,104339.56,1,No,No,50-75K,No
Yuan,630,Spain,Female,21,1,85818.18,1,Yes,Yes,50-75K,No
Mao,592,France,Male,37,4,212692.97,1,No,No,50-75K,No
Uspenskaya,634,Germany,Male,37,1,89696.84,2,Yes,Yes,50-75K,No
Powell,608,France,Female,28,9,0.0,2,Yes,Yes,50-75K,No
Brown,565,Germany,Female,32,9,68067.24,1,Yes,No,50-75K,No
Poole,763,Spain,Male,67,9,148564.66,1,No,Yes,50-75K,No
McChesney,665,France,Female,55,8,136354.16,1,Yes,Yes,50-75K,No
Lucchese,649,France,Male,38,1,122214.0,1,No,Yes,50-75K,No
Clements,695,France,Male,45,3,0.0,2,Yes,Yes,20-50K,No
Yuriev,775,Germany,Male,70,6,119684.88,2,Yes,Yes,50-75K,No
Endrizzi,788,France,Female,39,3,135139.33,1,No,Yes,50-75K,No
Pan,569,Germany,Female,42,9,146100.75,1,Yes,No,20-50K,Yes
Manfrin,726,Spain,Female,56,8,123110.9,3,No,Yes,50-75K,Yes
Kennedy,564,Germany,Female,44,3,111760.4,3,Yes,Yes,50-75K,Yes
Conway,544,France,Female,32,9,110728.39,1,Yes,Yes,0-20K,No
Lablanc,614,France,Female,41,8,121558.46,1,Yes,Yes,0-20K,No
Dodd,453,Germany,Female,38,8,120623.21,1,Yes,No,50-75K,No
Muir,471,France,Female,58,4,114713.57,1,Yes,Yes,20-50K,No
Milanesi,829,Germany,Female,37,3,103457.76,1,No,No,0-20K,No
Shen,754,Germany,Male,57,2,101134.87,2,Yes,Yes,50-75K,No
Dillon,749,Germany,Male,46,10,78136.36,2,Yes,Yes,50-75K,No
Hoelscher,667,France,Male,23,1,0.0,2,Yes,No,50-75K,No
Bell,670,Spain,Male,30,3,133446.34,1,No,No,0-20K,No
Liao,670,France,Female,33,7,0.0,2,Yes,Yes,50-75K,No
Udokamma,623,Germany,Female,48,1,108076.33,1,Yes,No,50-75K,Yes
Sinnett,571,France,Male,32,5,131354.25,1,Yes,No,50-75K,No
Palerma,641,Germany,Female,37,7,62974.64,2,No,Yes,20-50K,No
Chimaijem,551,Germany,Female,30,2,143340.44,1,Yes,No,50-75K,No
Porter,741,Germany,Male,36,8,116993.43,2,Yes,No,50-75K,No
Fan,472,France,Male,31,4,58662.92,2,No,Yes,50-75K,No
Palmer,650,Spain,Male,41,3,128808.65,3,No,No,50-75K,Yes
Younger,625,France,Male,45,7,137555.44,1,No,No,50-75K,No
Burke,650,Germany,Male,34,4,142393.11,1,Yes,Yes,0-20K,No
Nwagugheuzo,535,France,Female,38,8,0.0,2,Yes,No,50-75K,No
Young,649,France,Female,41,2,125785.23,1,Yes,Yes,50-75K,No
Watson,689,France,Male,22,4,136444.25,1,Yes,No,50-75K,Yes
Tseng,694,Spain,Male,38,7,121527.4,1,Yes,No,50-75K,No
Drake,655,Germany,Male,52,9,144696.75,1,Yes,Yes,20-50K,No
Hanna,620,France,Male,36,8,0.0,2,Yes,Yes,50-75K,No
Padovesi,577,France,Female,35,10,0.0,2,Yes,Yes,20-50K,No
Loftus,401,Germany,Male,48,8,128140.17,1,Yes,No,50-75K,Yes
Buccho,599,France,Male,25,6,120383.41,1,Yes,Yes,20-50K,No
Lorenzo,481,France,Female,57,9,0.0,3,Yes,Yes,50-75K,Yes
Ibezimako,704,France,Male,42,8,129735.3,2,Yes,Yes,50-75K,No
Wei,698,Spain,Female,31,8,185078.26,1,No,No,50-75K,Yes
Ross,480,France,Female,28,6,0.0,2,No,No,20-50K,No
Oluchukwu,682,France,Male,42,0,0.0,1,Yes,Yes,50-75K,No
Walker,700,Spain,Male,31,7,0.0,2,No,Yes,50-75K,No
Wu,492,France,Male,29,1,144591.96,1,Yes,Yes,50-75K,No
Chidalu,444,France,Female,45,4,0.0,2,Yes,No,50-75K,Yes
Ingram,624,France,Male,36,6,0.0,2,No,No,50-75K,No
Ch'en,709,France,Male,37,7,0.0,1,Yes,No,50-75K,No
Iredale,557,Germany,Male,68,2,100194.44,1,Yes,Yes,20-50K,No
Gallagher,646,Germany,Male,50,6,145295.31,2,Yes,Yes,20-50K,No
Padilla,719,Germany,Male,28,3,106070.29,2,Yes,Yes,50-75K,No
Potter,706,Germany,Female,47,6,120621.89,1,Yes,Yes,50-75K,No
Mao,660,France,Male,38,7,0.0,2,No,Yes,50-75K,No
Schneider,667,France,Male,36,9,0.0,2,Yes,Yes,20-50K,No
Ibragimova,705,France,Male,30,1,0.0,1,Yes,Yes,50-75K,No
Huang,598,Germany,Female,27,10,171283.91,1,Yes,Yes,50-75K,No
Anderson,669,France,Male,26,4,0.0,2,Yes,Yes,50-75K,No
Nakayama,580,Germany,Female,38,1,128218.47,1,Yes,No,50-75K,Yes
Gardener,676,France,Female,32,5,0.0,2,Yes,Yes,50-75K,No
Aksenova,714,Germany,Male,28,7,77776.39,1,Yes,No,50-75K,No
Milne,597,Germany,Female,72,6,124978.19,2,Yes,Yes,0-20K,No
Onwumelu,559,France,Male,29,1,0.0,2,No,No,50-75K,No
Kudryashova,564,France,Female,28,1,0.0,1,Yes,Yes,50-75K,No
Hart,850,Spain,Male,51,3,109799.55,2,Yes,Yes,0-20K,Yes
Teng,689,France,Male,39,7,0.0,2,No,No,0-20K,No
Kruglova,758,Germany,Female,61,8,125397.21,1,Yes,No,50-75K,Yes
Palerma,604,Spain,Female,71,10,0.0,2,Yes,Yes,50-75K,No
Brookes,733,Germany,Male,38,9,111347.37,2,No,Yes,50-75K,No
Hsing,778,Spain,Male,40,8,104291.41,2,Yes,Yes,50-75K,No
Shaffer,732,Germany,Female,61,9,94867.18,2,Yes,Yes,50-75K,Yes
Laurie,646,France,Male,24,8,0.0,2,No,No,50-75K,No
Chung,597,France,Female,33,6,135703.59,2,No,No,50-75K,No
Whitfield,821,Germany,Female,37,5,106453.53,2,No,Yes,50-75K,No
Thomas,640,France,Male,43,7,132412.38,1,No,No,50-75K,Yes
Rioux,511,Germany,Female,40,9,124401.6,1,Yes,No,50-75K,Yes
Osonduagwuike,805,France,Male,46,6,118022.06,3,Yes,No,50-75K,Yes
Matveyev,540,Germany,Male,39,1,82531.11,1,Yes,No,50-75K,No
Hayward,705,Spain,Male,44,0,184552.12,1,Yes,No,50-75K,Yes
Nkemdirim,540,Germany,Male,39,4,127278.31,1,Yes,Yes,0-20K,No
Brim,532,Spain,Female,66,3,0.0,1,Yes,Yes,50-75K,No
Trevisano,535,France,Female,45,2,0.0,2,No,Yes,50-75K,No
Soubeiran,627,Germany,Male,23,5,184244.86,1,Yes,No,50-75K,No
Wilson,646,France,Male,52,8,59669.43,1,No,No,50-75K,Yes
Helena,515,France,Female,25,7,79543.59,1,No,Yes,20-50K,No
